record_id,title_mysql,primary_category,document_type_mysql,source_name_mysql,published_date_mysql,published_year_mysql,rating_score,popularity,content_length,title_length,engagement_score,estimated_value,title_mongo,description,url,source_path,file_name,category,document_type_mongo,source_name_mongo,language,content_text,published_date_mongo,published_year_mongo,analysis_year,category_avg_rating_score,category_avg_estimated_value
48,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,,news_two_column.pdf,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
80,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,,news_two_column.pdf,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
112,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
152,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
193,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
449,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
705,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
961,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
1217,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0,Untitled record,No content available.,,data/raw/pdf/news_two_column.pdf,news_two_column.pdf,pdf_two_column,pdf_two_column,unknown,unknown,"News Monit Two Colu Two-column layout for extraction This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. ring Brief — mn Sample ing with pdfplumber crop strategy In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. The monitoring team can also compare issue salience by source, category, and region. Even a lightweight lab pipeline benefits from consistent metadata, because it lets you trace which parser produced each record and when that record entered the database. If a page uses a strong newspaper-style layout, a left-right crop method is often enough to recover the intended order. When tables or images appear, they can be stored separately as supporting content, while normalized text remains searchable as a clean field in MongoDB.",,,,6.800000000000001,252051.80000000002
51,Untitled record,word_two_column,word_two_column,data/raw/word/news_two_column.docx,,,10.0,1877.0,1877,15,212.62,399300.0,Untitled record,No content available.,,,news_two_column.docx,word_two_column,word_two_column,data/raw/word/news_two_column.docx,unknown,"News Monitoring Brief — Two Column Sample Two-column layout for extraction testing with pdfplumber crop strategy This two-column briefing simulates a compact media report distributed to newsroom analysts. It contains short paragraphs and embedded images so you can test whether column-aware extraction produces readable output. The layout is intentionally narrow and mirrors the kind of print digest often used for morning media reviews. Coverage this week highlighted policy debates, AI funding optimism, and a surge in weekend sports clips. Regional desks also logged multilingual mentions including Žurnal, São Paulo, München, and café references. These characters are useful for testing whether normalization preserves accented text during extraction. A common strategy for multi-column PDFs is to split each page into left and right regions, extract both halves separately, normalize whitespace, and concatenate the results in reading order. This avoids jumbled lines when extractors read across the page instead of down the first column. Analysts can further attach metadata such as source file, page number, extraction date, and processing library so that downstream search or audit tasks remain transparent. Once stored in MongoDB, the document content can be searched alongside article feeds gathered from APIs and scraped websites. In production, a simple logging trail should capture document name, success state, encoding notes, and any extraction warnings. That makes it easier to compare normal PDFs, two-column PDFs, Word documents, and Excel sheets inside one reproducible pipeline. Bordered table — source coverage snapshot Borderless table — trending keyword snapshot Store extracted text with metadata such as file name, page number, source path, extraction date, and library used. This helps version and audit ingestion results inside the pipeline.",,,,10.0,399300.0
