file_name,local_path,drive_file_id,drive_url,shared_with
rating_score_distribution.png,data\processed\analytics\charts\rating_score_distribution.png,1lemgSTGtPFjloo1IlPXHz_gnT1j8oQ87,https://drive.google.com/file/d/1lemgSTGtPFjloo1IlPXHz_gnT1j8oQ87/view?usp=drivesdk,amila.causevic@ibu.edu.ba
rating_distribution.png,data\processed\analytics\charts\rating_distribution.png,1tzLQDD55Eb1FeR5baBwf6VnoEy1P0Ta1,https://drive.google.com/file/d/1tzLQDD55Eb1FeR5baBwf6VnoEy1P0Ta1/view?usp=drivesdk,amila.causevic@ibu.edu.ba
popularity_distribution.png,data\processed\analytics\charts\popularity_distribution.png,1wjW1TNFg-nvcVDz3aICxUkwi1LNTUMYo,https://drive.google.com/file/d/1wjW1TNFg-nvcVDz3aICxUkwi1LNTUMYo/view?usp=drivesdk,amila.causevic@ibu.edu.ba
mentions_distribution.png,data\processed\analytics\charts\mentions_distribution.png,1hJk1WoRsVG97cesgrBi2hRIL9xksR-AK,https://drive.google.com/file/d/1hJk1WoRsVG97cesgrBi2hRIL9xksR-AK/view?usp=drivesdk,amila.causevic@ibu.edu.ba
content_length_distribution.png,data\processed\analytics\charts\content_length_distribution.png,1XXssB1bgaTZTvvBmMTiDSE5oY7XxbvHh,https://drive.google.com/file/d/1XXssB1bgaTZTvvBmMTiDSE5oY7XxbvHh/view?usp=drivesdk,amila.causevic@ibu.edu.ba
language_distribution.png,data\processed\analytics\charts\language_distribution.png,1NgN11w797fdLqyHB5febEaSD7cBNJBb7,https://drive.google.com/file/d/1NgN11w797fdLqyHB5febEaSD7cBNJBb7/view?usp=drivesdk,amila.causevic@ibu.edu.ba
published_year_distribution.png,data\processed\analytics\charts\published_year_distribution.png,1alnn2p9zBoaisbFVOx1LOnQtwSxyNu87,https://drive.google.com/file/d/1alnn2p9zBoaisbFVOx1LOnQtwSxyNu87/view?usp=drivesdk,amila.causevic@ibu.edu.ba
release_year_distribution.png,data\processed\analytics\charts\release_year_distribution.png,1ZPRyOipswFXLY8G6PfQE0GjpdT12u3AM,https://drive.google.com/file/d/1ZPRyOipswFXLY8G6PfQE0GjpdT12u3AM/view?usp=drivesdk,amila.causevic@ibu.edu.ba
category_distribution.png,data\processed\analytics\charts\category_distribution.png,1kUG0XYxALnWQgiS2u2XN_l4ME4LUeVR6,https://drive.google.com/file/d/1kUG0XYxALnWQgiS2u2XN_l4ME4LUeVR6/view?usp=drivesdk,amila.causevic@ibu.edu.ba
genre_distribution.png,data\processed\analytics\charts\genre_distribution.png,17mdbZt4fOV4EesGe1zeohh7AZzBLlOf3,https://drive.google.com/file/d/17mdbZt4fOV4EesGe1zeohh7AZzBLlOf3/view?usp=drivesdk,amila.causevic@ibu.edu.ba
document_type_distribution.png,data\processed\analytics\charts\document_type_distribution.png,1f3z_pcnxhHDpLDOlHLNL83Pa3PvfxKFt,https://drive.google.com/file/d/1f3z_pcnxhHDpLDOlHLNL83Pa3PvfxKFt/view?usp=drivesdk,amila.causevic@ibu.edu.ba
source_distribution.png,data\processed\analytics\charts\source_distribution.png,1ZM_Y2xy-mNgxmh6DujUqdSoFSu_VGwLU,https://drive.google.com/file/d/1ZM_Y2xy-mNgxmh6DujUqdSoFSu_VGwLU/view?usp=drivesdk,amila.causevic@ibu.edu.ba
missing_values_heatmap.png,data\processed\analytics\charts\missing_values_heatmap.png,1kvTa5IJxW0OW2w-dCHFqOdQ-v88e65OW,https://drive.google.com/file/d/1kvTa5IJxW0OW2w-dCHFqOdQ-v88e65OW/view?usp=drivesdk,amila.causevic@ibu.edu.ba
